sample	dir
N090_V127	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N090_V128	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N090_V127	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/221202_A01366_0326_AHHTTWDMXY/hg38/SHE5052A9_S101/all-well/DGE_filtered/
N090_V124A	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/221202_A01366_0326_AHHTTWDMXY/hg38/SHE5052A9_S101/all-well/DGE_filtered/
K891_V014	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N045_V008C	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N045_V010	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N045_V003	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N045_V004	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N045_N001	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N059_V001	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N059_M001	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N059_V102A	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N059_N001	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N059_V003	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N059_V103	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N088_V006	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N088_V004	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N088_V008	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N088_V106	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N088_V108	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N090_V116	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N090_V124D	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N090_V126	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N090_V127	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N090_V124A	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N090_V128	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
N090_N002	/nemo/project/proj-tracerX/working/VHL_GERMLINE/tidda/parse_pipeline/analysis/230210_A01366_0351_AHNHCFDSX5/hg38/comb/all-well/DGE_filtered/
